'sample interval','Fx','Fy','Fz','Mx','My','Mz','COPx','COPy'
234,1.833,-0.15,-0.511,1.061,0.059,0.15,-0.015,0.199
235,1.897,-0.123,-0.379,1.088,-0.002,0.147,-0.001,0.204
236,1.965,-0.096,-0.281,1.114,-0.08,0.143,0.015,0.208
237,2.037,-0.072,-0.236,1.138,-0.171,0.139,0.033,0.213
238,2.11,-0.053,-0.25,1.158,-0.269,0.134,0.05,0.217
239,2.181,-0.039,-0.306,1.176,-0.366,0.13,0.068,0.22
240,2.252,-0.033,-0.374,1.191,-0.455,0.128,0.083,0.223
241,2.323,-0.03,-0.423,1.205,-0.529,0.126,0.096,0.226
242,2.395,-0.031,-0.433,1.218,-0.585,0.125,0.106,0.228
243,2.471,-0.031,-0.406,1.231,-0.619,0.125,0.113,0.23
244,2.548,-0.032,-0.353,1.244,-0.634,0.124,0.117,0.233
245,2.619,-0.034,-0.292,1.259,-0.633,0.124,0.118,0.235
246,2.678,-0.04,-0.24,1.277,-0.626,0.124,0.117,0.239
247,2.716,-0.053,-0.211,1.297,-0.62,0.123,0.116,0.242
248,2.73,-0.072,-0.218,1.318,-0.623,0.121,0.117,0.246
249,2.721,-0.094,-0.274,1.335,-0.639,0.119,0.119,0.249
250,2.691,-0.115,-0.386,1.347,-0.667,0.117,0.122,0.252
251,2.648,-0.129,-0.548,1.352,-0.704,0.116,0.127,0.253
252,2.598,-0.135,-0.738,1.349,-0.742,0.117,0.131,0.253
253,2.547,-0.132,-0.919,1.341,-0.774,0.119,0.134,0.252
254,2.502,-0.122,-1.053,1.332,-0.794,0.122,0.136,0.25
255,2.468,-0.108,-1.107,1.325,-0.799,0.125,0.136,0.249
256,2.447,-0.095,-1.066,1.322,-0.79,0.127,0.135,0.249
257,2.439,-0.084,-0.936,1.323,-0.773,0.127,0.134,0.248
258,2.437,-0.075,-0.744,1.326,-0.753,0.124,0.133,0.249
259,2.438,-0.069,-0.532,1.332,-0.738,0.12,0.133,0.249
260,2.437,-0.064,-0.344,1.34,-0.732,0.115,0.135,0.25
261,2.435,-0.059,-0.215,1.349,-0.737,0.11,0.138,0.252
262,2.435,-0.052,-0.167,1.361,-0.755,0.106,0.142,0.254
263,2.443,-0.043,-0.196,1.376,-0.781,0.103,0.146,0.257
264,2.463,-0.032,-0.284,1.391,-0.813,0.101,0.151,0.26
265,2.496,-0.019,-0.396,1.405,-0.845,0.099,0.155,0.263
266,2.538,-0.007,-0.495,1.416,-0.873,0.098,0.159,0.265
267,2.58,0,-0.542,1.423,-0.891,0.098,0.162,0.266
268,2.615,0.003,-0.515,1.427,-0.899,0.098,0.164,0.267
269,2.637,0.003,-0.412,1.429,-0.899,0.099,0.165,0.267
270,2.648,0.004,-0.259,1.432,-0.896,0.099,0.167,0.267
271,2.655,0.01,-0.099,1.436,-0.893,0.1,0.169,0.268
272,2.666,0.024,0.017,1.442,-0.897,0.1,0.171,0.269
273,2.688,0.047,0.052,1.451,-0.91,0.099,0.174,0.27
274,2.722,0.078,-0.004,1.46,-0.93,0.098,0.177,0.272
275,2.763,0.11,-0.133,1.467,-0.953,0.097,0.179,0.274
276,2.803,0.139,-0.292,1.472,-0.973,0.097,0.181,0.275
277,2.833,0.161,-0.438,1.473,-0.984,0.097,0.18,0.275
278,2.849,0.172,-0.539,1.469,-0.983,0.098,0.179,0.275
279,2.849,0.175,-0.585,1.462,-0.971,0.101,0.176,0.274
280,2.838,0.171,-0.589,1.452,-0.952,0.105,0.172,0.272
281,2.82,0.163,-0.572,1.443,-0.931,0.11,0.169,0.27
282,2.803,0.154,-0.555,1.439,-0.914,0.114,0.166,0.269
283,2.79,0.143,-0.546,1.44,-0.903,0.119,0.164,0.27
284,2.784,0.131,-0.549,1.448,-0.899,0.122,0.163,0.271
285,2.783,0.118,-0.556,1.461,-0.9,0.125,0.163,0.273
286,2.785,0.105,-0.559,1.475,-0.901,0.127,0.163,0.276
287,2.79,0.094,-0.552,1.487,-0.896,0.13,0.162,0.278
288,2.797,0.087,-0.532,1.494,-0.883,0.132,0.16,0.279
289,2.804,0.085,-0.503,1.494,-0.858,0.134,0.156,0.279
290,2.811,0.09,-0.47,1.485,-0.823,0.137,0.15,0.278
291,2.813,0.098,-0.443,1.467,-0.782,0.139,0.143,0.274
292,2.805,0.106,-0.427,1.443,-0.738,0.142,0.135,0.27
293,2.78,0.108,-0.424,1.417,-0.696,0.146,0.127,0.265
294,2.735,0.099,-0.436,1.393,-0.655,0.15,0.119,0.26
295,2.671,0.075,-0.462,1.373,-0.617,0.155,0.112,0.257
296,2.591,0.038,-0.504,1.362,-0.579,0.16,0.104,0.255
297,2.506,-0.008,-0.56,1.357,-0.54,0.164,0.096,0.254
298,2.423,-0.055,-0.624,1.359,-0.5,0.165,0.088,0.255
299,2.35,-0.097,-0.68,1.365,-0.458,0.164,0.079,0.256
300,2.29,-0.13,-0.703,1.373,-0.414,0.159,0.07,0.257
301,2.243,-0.152,-0.666,1.381,-0.368,0.152,0.062,0.259
302,2.205,-0.163,-0.553,1.387,-0.321,0.144,0.055,0.26
303,2.172,-0.165,-0.365,1.39,-0.27,0.136,0.049,0.26
304,2.142,-0.16,-0.127,1.388,-0.219,0.127,0.043,0.259
